year, latitude, longitude, cause of death, fatalities
1997, , , Heart disease, 4649 
1997, , , Cerebrovascular disease, 710 
1997, , , Unintentional injury, 671 
1997, , , Unintentional injuries: motor vehicle, 297 
1997, , , Unintentional injuries: all other, 374 
1997, , , Diabetes mellitus, 523 
1997, , , Chronic obstructive pulmonary disease, 494 
1997, , , Chronic liver disease and cirrhosis, 454 
1997, , , Pneumonia and influenza, 283 
1997, , , Suicide, 244 
1997, , , Septicemia, 193 
1997, , , Nephritis, 188 
1997, , , HIV infection, 163 
1997, , , Homicide, 115 
1997, , , All Causes, 76338 
1997, , , Heart disease, 27009 
1997, , , Malignant neoplasms, 17188 
1997, , , Cerebrovascular disease, 6457 
1997, , , Chronic obstructive pulmonary disease, 3688 
1997, , , Pneumonia and influenza, 3355 
1997, , , Diabetes mellitus, 2034 
1997, , , Nephritis, 1343 
1997, , , Unintentional injury, 1066 
1997, , , Unintentional injuries: motor vehicle, 262 
1997, , , Unintentional injuries: all other, 804 
1997, , , Alzheimer's disease, 1048 
1997, , , Septicemia, 1036 
1997, , , Aortic aneurism, 640 
1997, , , Atherosclerosis, 628 
1997, , , Chronic liver disease and cirrhosis, 459 
1997, , , Hypertension with or without renal disease, 443 
1997, , , Ulcer of stomach and duodenum, 275 
1997, , , Abdominal hernia and intestinal blockage, 264 
1997, , , Benign neoplasms, 257 
1997, , , Anemias, 239 
1997, , , Suicide, 205 
1998, , , All Causes, 104070 
1998, , , Heart disease, 32722 
1998, , , Malignant neoplasms, 24592 
1998, , , Cerebrovascular disease, 7247 
1998, , , Chronic obstructive pulmonary diseases and other allied conditions, 4542 
1998, , , Pneumonia and influenza, 3944 
1998, , , Unintentional injuries, 3803 
1998, , , Unintentional injuries: motor vehicle, 1530 
1998, , , Unintentional injuries: all other, 2273 
1998, , , Diabetes mellitus, 2724 
1998, , , Nephritis, 1664 
1998, , , Septicemia, 1468 
1998, , , Alzheimer's disease, 1137 
1998, , , Homicide, 1116 
1998, , , Chronic liver disease & cirrhosis, 1089 
1998, , , Suicide, 1064 
1998, , , Certain perinatal conditions, 769 
1998, , , Aortic aneurism, 742 
1998, , , Hypertension with or without renal disease, 574 
1998, , , Atherosclerosis, 556 
1998, , , HIV infection, 515 
1998, , , Congenital anomalies, 460 
1998, , , Benign neoplasms, 363 
1998, , , Abdominal hernia and intestinal blockage, 322 
1998, , , Ulcer of stomach and duodenum, 267 
1998, , , Anemias, 253 
1998, , , Alcohol dependence syndrome, 156 
1998, , , SIDS, 152 
1998, , , Viral hepatitis, 127 
1998, , , Injury of undetermined origin, 108 
1998, , , Cholelithiasis, 95 
1998, , , Tuberculosis, 59 
1998, , , Epilepsy, 54 
1998, , , Muscular dystrophy, 51 
1998, , , Infantile cerebral palsy, 45 
1998, , , Meningitis, 32 
1998, , , All Causes, 222 
1998, , , Unintentional injuries, 64 
1998, , , Unintentional injuries: motor vehicle, 21 
1998, , , Unintentional injuries: all other, 43 
1998, , , Congenital anomalies, 30 
1998, , , Heart disease, 18 
1998, , , Malignant neoplasms, 17 
1998, , , Homicide, 16 
1998, , , Pneumonia and influenza, 14 
1998, , , Septicemia, 10 
1998, , , Cerebrovascular disease, 5 
1998, , , All Causes, 327 
1998, , , Unintentional injuries, 114 
1998, , , Unintentional injuries: motor vehicle, 61 
1998, , , Unintentional injuries: all other, 53 
1998, , , Malignant neoplasms, 38 
1998, , , Homicide, 33 
1998, , , Congenital anomalies, 19 
1998, , , Chronic obstructive pulmonary diseases and other allied conditions, 17 
1998, , , Heart disease, 15 
1998, , , Infantile cerebral palsy, 10 
1998, , , Suicide, 8 
1998, , , Pneumonia and influenza, 8 
1998, , , Septicemia, 5 
1998, , , Benign neoplasms, 5 
1998, , , All Causes, 1583 
1998, , , Unintentional injury, 541 
1998, , , Unintentional injuries: motor vehicle, 389 
1998, , , Unintentional injuries: all other, 152 
1998, , , Homicide, 490 
1998, , , Suicide, 160 
1998, , , Malignant neoplasms, 73 
1998, , , Heart disease, 70 
1998, , , Injury of undetermined origin, 20 
1998, , , Congenital anomalies, 18 
1998, , , Chronic obstructive pulmonary diseases and other allied conditions, 18 
1998, , , Pneumonia and influenza, 17 
1998, , , Cerebrovascular diseases, 13 
1998, , , Muscular dystrophy, 11 
1998, , , HIV infection, 9 
1998, , , Infantile cerebral palsy, 9 
1998, , , Benign neoplasms, 8 
1998, , , Anemias, 8 
1998, , , Complications of pregnancy and childbirth, 6 
1998, , , Diabetes mellitus, 6 
1998, , , Septicemia, 5 
1998, , , All Causes, 5828 
1998, , , Unintentional injury, 1194 
1998, , , Unintentional injuries: motor vehicle, 474 
1998, , , Unintentional injuries: all other, 720 
1998, , , Malignant neoplasms, 976 
1998, , , Heart disease, 882 
1998, , , Suicide, 435 
1998, , , Homicide, 420 
1998, , , HIV infection, 317 
1998, , , Chronic liver disease and cirrhosis, 205 
1998, , , Cerebrovascular disease, 148 
1998, , , Diabetes mellitus, 112 
1998, , , Pneumonia and influenza, 90 
1998, , , Chronic obstructive pulmonary diseases and other allied conditions, 87 
1998, , , Alcohol dependence sndrome, 51 
1998, , , Septicemia, 46 
1998, , , Injury of undetermined origin, 41 
1998, , , Nephritis, 35 
1998, , , Benign neoplasms, 30 
1998, , , Congenital anomalies, 29 
1998, , , Aortic aneurism, 26 
1998, , , Epilepsy, 22 
1998, , , Anemias, 18 
1998, , , All Causes, 16852 
1998, , , Malignant neoplasms, 6129 
1998, , , Heart disease, 4553 
1998, , , Unintentional injury, 726 
1998, , , Unintentional injuries: motor vehicle, 298 
1998, , , Unintentional injuries: all other, 428 
1998, , , Cerebrovascular disease, 712 
1998, , , Chronic obstructive pulmonary disease, 518 
1998, , , Diabetes mellitus, 505 
1998, , , Chronic liver disease and cirrhosis, 467 
1998, , , Pneumonia and influenza, 284 
1998, , , Suicide, 260 
1998, , , Septicemia, 216 
1998, , , Nephritis, 198 
1998, , , HIV infection, 171 
1998, , , Homicide, 96 
1998, , , Aortic aneurism, 87 
1998, , , Alcohol dependence syndrome, 86 
1998, , , Hypertension with or without renal disease, 76 
1998, , , Benign neoplasms, 54 
1998, , , Viral hepatitis, 47 
1998, , , Injury of undetermined origin, 29 
1998, , , Ulcer of stomach and duodenum, 28 
1998, , , Congenital anomalies, 23 
1998, , , All Causes, 77753 
1998, , , Heart disease, 27154 
1998, , , Malignant neoplasms, 17357 
1998, , , Cerebrovascular disease, 6361 
1998, , , Chronic obstructive pulmonary disease, 3893 
1998, , , Pneumonia and influenza, 3496 
1998, , , Diabetes mellitus, 2099 
1998, , , Nephritis, 1426 
1998, , , Septicemia, 1168 
1998, , , Unintentional injury, 1129 
1998, , , Unintentional injuries: motor vehicle, 279 
1998, , , Unintentional injuries: all other, 850 
1998, , , Alzheimer's disease, 1119 
1998, , , Aortic aneurism, 626 
1998, , , Atherosclerosis, 526 
1998, , , Hypertension with or without renal disease, 487 
1998, , , Chronic liver disease and cirrhosis, 415 
1998, , , Abdominal hernia and intestinal blockage, 287 
1998, , , Benign neoplasms, 261 
1998, , , Ulcer of stomach and duodenum, 230 
1998, , , Suicide, 201 
1998, , , Anemias, 199 
1998, , , Cholelithiasis, 83 
1998, , , Viral hepatitis, 61 
1998, , , Homicide, 42 
1999, , , All Causes, 108122 
1999, , , Diseases of heart, 33312 
1999, , , Malignant neoplasms, 24980 
1999, , , Cerebrovascular disease, 7697 
1999, , , Chronic lower respiratory diseases, 5153 
1999, , , Accidents, 4072 
1999, , , Unintentional injuries: motor vehicle, 1511 
1999, , , Unintentional injuries: all other, 2561 
1999, , , Influenza and pneumonia, 3118 
1999, , , Diabetes mellitus, 2999 
1999, , , Nephritis, 1963 
1999, , , Alzheimer's disease, 1905 
1999, , , Septicemia, 1824 
1999, , , Chronic liver disease and cirrhosis, 1093 
1999, , , Homicide, 1012 
1999, , , Suicide, 1012 
1999, , , Pneumonitis due to solids and liquids, 826 
1999, , , Certain conditions originating in the perinatal period, 787 
1999, , , Primary hypertension and hypertensive renal disease, 733 
1999, , , Aortic aneurism and dissection, 708 
1999, , , Parkinson's disease, 699 
1999, , , Atherosclerosis, 610 
1999, , , In situ neoplasms, 594 
1999, , , HIV disease, 546 
1999, , , Congenital malformations, 497 
1999, , , All Causes, 255 
1999, , , Accidents, 83 
1999, , , Unintentional injuries: motor vehicle, 20 
1999, , , Unintentional injuries: all other, 63 
1999, , , Congenital malformations, 31 
1999, , , Malignant neoplasms, 20 
1999, , , Homicide, 19 
1999, , , All Causes, 297 
1999, , , Accidents, 89 
1999, , , Unintentional injuries: motor vehicle, 42 
1999, , , Unintentional injuries: all other, 47 
1999, , , Malignant neoplasms, 44 
1999, , , Homicide, 28 
1999, , , Congenital malformations, 20 
1999, , , All Causes, 1484 
1999, , , Accidents, 550 
1999, , , Unintentional injuries: motor vehicle, 363 
1999, , , Unintentional injuries: all other, 187 
1999, , , Homicide, 387 
1999, , , Suicide, 140 
1999, , , Malignant neoplasms, 82 
1999, , , Diseases of heart, 65 
1999, , , Chronic lower respiratory diseases, 23 
1999, , , Congenital malformations, 18 
1999, , , All Causes, 5760 
1999, , , Accidents, 1209 
1999, , , Unintentional injuries: motor vehicle, 505 
1999, , , Unintentional injuries: all other, 704 
1999, , , Malignant neoplasms, 874 
1999, , , Diseases of heart, 853 
1999, , , Homicide, 426 
1999, , , Suicide, 418 
1999, , , HIV disease, 319 
1999, , , Chronic liver disease and cirrhosis, 172 
1999, , , Cerebrovascular disease, 141 
1999, , , Diabetes mellitus, 102 
1999, , , Chronic lower respiratory diseases, 89 
1999, , , Influenza and pneumonia, 85 
1999, , , Septicemia, 65 
1999, , , Nephritis, 62 
1999, , , Alcohol dependence sndrome, 61 
1999, , , All Causes, 17345 
1999, , , Malignant neoplasms, 6075 
1999, , , Diseases of heart, 4696 
1999, , , Accidents, 804 
1999, , , Unintentional injuries: motor vehicle, 278 
1999, , , Unintentional injuries: all other, 526 
1999, , , Cerebrovascular disease, 687 
1999, , , Chronic lower respiratory diseases, 593 
1999, , , Diabetes mellitus, 574 
1999, , , Chronic liver disease and cirrhosis, 464 
1999, , , Suicide, 274 
1999, , , Septicemia, 263 
1999, , , Influenza and pneumonia, 247 
1999, , , Nephritis, 235 
1999, , , HIV disease, 209 
1999, , , Alcohol dependence syndrome, 95 
1999, , , Primary hypertension and hypertensive renal disease, 93 
1999, , , Homicide, 90 
1999, , , In situ neoplasms, 83 
1999, , , Aortic aneurism and dissection, 81 
1999, , , All Causes, 81477 
1999, , , Diseases of heart, 27643 
1999, , , Malignant neoplasms, 17881 
1999, , , Cerebrovascular disease, 6851 
1999, , , Chronic lower respiratory diseases, 4437 
1999, , , Influenza and pneumonia, 2746 
1999, , , Diabetes mellitus, 2316 
1999, , , Alzheimer's disease, 1885 
1999, , , Nephritis, 1651 
1999, , , Septicemia, 1464 
1999, , , Accidents, 1298 
1999, , , Unintentional injuries: motor vehicle, 297 
1999, , , Unintentional injuries: all other, 1001 
1999, , , Pneumonitis due to solids and liquids, 775 
1999, , , Parkinson's disease, 681 
1999, , , Primary hypertension and hypertensive renal disease, 621 
1999, , , Aortic aneurism and dissection, 605 
1999, , , Atherosclerosis, 585 
1999, , , In situ neoplasms, 468 
1999, , , Chronic liver disease and cirrhosis, 454 
2000, , , All Causes, 106287 
2000, , , Diseases of heart, 31772 
2000, , , Malignant neoplasms, 25316 
2000, , , Cerebrovascular disease, 7415 
2000, , , Chronic lower respiratory diseases, 4756 
2000, , , Accidents, 3989 
2000, , , Unintentional injuries: motor vehicle, 1503 
2000, , , Unintentional injuries: all other, 2486 
2000, , , Diabetes mellitus, 2985 
2000, , , Influenza and pneumonia, 2909 
2000, , , Alzheimer's disease, 2150 
2000, , , Nephritis, 2120 
2000, , , Septicemia, 1867 
2000, , , Chronic liver disease and cirrhosis, 1056 
2000, , , Suicide, 1000 
2000, , , Homicide, 987 
2000, , , Pneumonitis due to solids and liquids, 854 
2000, , , Certain conditions originating in the perinatal period, 820 
2000, , , Primary hypertension and hypertensive renal disease, 730 
2000, , , Aortic aneurism and dissection, 723 
2000, , , Parkinson's disease, 711 
2000, , , In situ neoplasms, 641 
2000, , , Atherosclerosis, 601 
2000, , , HIV disease, 477 
2000, , , Congenital malformations, 460 
2000, , , All Causes, 214 
2000, , , Accidents, 74 
2000, , , Unintentional injuries: motor vehicle, 26 
2000, , , Unintentional injuries: all other, 48 
2000, , , Congenital malformations, 30 
2000, , , Malignant neoplasms, 18 
2000, , , Homicide, 11 
2000, , , All Causes, 293 
2000, , , Accidents, 99 
2000, , , Unintentional injuries: motor vehicle, 46 
2000, , , Unintentional injuries: all other, 53 
2000, , , Malignant neoplasms, 37 
2000, , , Homicide, 17 
2000, , , Chronic lower respiratory diseases, 17 
2000, , , Congenital malformations, 16 
2000, , , All Causes, 1451 
2000, , , Accidents, 553 
2000, , , Unintentional injuries: motor vehicle, 364 
2000, , , Unintentional injuries: all other, 189 
2000, , , Homicide, 391 
2000, , , Suicide, 145 
2000, , , Malignant neoplasms, 72 
2000, , , Diseases of heart, 65 
2000, , , Chronic lower respiratory diseases, 19 
2000, , , Congenital malformations, 19 
2000, , , All Causes, 5620 
2000, , , Accidents, 1218 
2000, , , Unintentional injuries: motor vehicle, 505 
2000, , , Unintentional injuries: all other, 713 
2000, , , Malignant neoplasms, 893 
2000, , , Diseases of heart, 822 
2000, , , Homicide, 397 
2000, , , Suicide, 393 
2000, , , HIV disease, 287 
2000, , , Chronic liver disease and cirrhosis, 181 
2000, , , Cerebrovascular disease, 145 
2000, , , Diabetes mellitus, 104 
2000, , , Chronic lower respiratory diseases, 82 
2000, , , Influenza and pneumonia, 81 
2000, , , Septicemia, 80 
2000, , , Nephritis, 52 
2000, , , All Causes, 17244 
2000, , , Malignant neoplasms, 6252 
2000, , , Diseases of heart, 4483 
2000, , , Accidents, 785 
2000, , , Unintentional injuries: motor vehicle, 305 
2000, , , Unintentional injuries: all other, 480 
2000, , , Cerebrovascular disease, 706 
2000, , , Diabetes mellitus, 565 
2000, , , Chronic lower respiratory diseases, 501 
2000, , , Chronic liver disease and cirrhosis, 452 
2000, , , Septicemia, 280 
2000, , , Suicide, 274 
2000, , , Nephritis, 272 
2000, , , Influenza and pneumonia, 195 
2000, , , HIV disease, 163 
2000, , , Homicide, 113 
2000, , , Primary hypertension and hypertensive renal disease, 101 
2000, , , In situ neoplasms, 92 
2000, , , Aortic aneurism and dissection, 90 
2000, , , All Causes, 79937 
2000, , , Diseases of heart, 26347 
2000, , , Malignant neoplasms, 18041 
2000, , , Cerebrovascular disease, 6532 
2000, , , Chronic lower respiratory diseases, 4134 
2000, , , Influenza and pneumonia, 2603 
2000, , , Diabetes mellitus, 2312 
2000, , , Alzheimer's disease, 2128 
2000, , , Nephritis, 1780 
2000, , , Septicemia, 1475 
2000, , , Accidents, 1199 
2000, , , Unintentional injuries: motor vehicle, 249 
2000, , , Unintentional injuries: all other, 950 
2000, , , Pneumonitis due to solids and liquids, 801 
2000, , , Parkinson's disease, 701 
2000, , , Primary hypertension and hypertensive renal disease, 612 
2000, , , Aortic aneurism and dissection, 610 
2000, , , Atherosclerosis, 572 
2000, , , In situ neoplasms, 510 
2000, , , Chronic liver disease and cirrhosis, 421 
2001, , , All Causes, 104858 
2001, , , Diseases of heart, 30827 
2001, , , Malignant neoplasms, 24674 
2001, , , Cerebrovascular disease, 7195 
2001, , , Chronic lower respiratory diseases, 4756 
2001, , , Accidents, 4027 
2001, , , Unintentional injuries: motor vehicle, 1559 
2001, , , Unintentional injuries: all other, 2468 
2001, , , Diabetes mellitus, 3085 
2001, , , Influenza and pneumonia, 2648 
2001, , , Nephritis, 2166 
2001, , , Alzheimer's disease, 2161 
2001, , , Septicemia, 1964 
2001, , , Suicide, 1131 
2001, , , Chronic liver disease and cirrhosis, 1101 
2001, , , Homicide, 1064 
2001, , , Pneumonitis due to solids and liquids, 848 
2001, , , Primary hypertension and hypertensive renal disease, 784 
2001, , , Parkinson's disease, 755 
2001, , , Certain conditions originating in the perinatal period, 742 
2001, , , Aortic aneurism and dissection, 677 
2001, , , In situ neoplasms, 619 
2001, , , Atherosclerosis, 569 
2001, , , HIV disease, 514 
2001, , , Congenital malformations, 424 
2001, , , All Causes, 229 
2001, , , Accidents, 56 
2001, , , Unintentional injuries: motor vehicle, 17 
2001, , , Unintentional injuries: all other, 39 
2001, , , Congenital malformations, 24 
2001, , , Homicide, 23 
2001, , , Malignant neoplasms, 21 
2001, , , Diseases of heart, 16 
2001, , , All Causes, 317 
2001, , , Accidents, 104 
2001, , , Unintentional injuries: motor vehicle, 56 
2001, , , Unintentional injuries: all other, 48 
2001, , , Malignant neoplasms, 43 
2001, , , Congenital malformations, 17 
2001, , , Homicide, 17 
2001, , , Suicide, 17 
2001, , , Diseases of heart, 15 
2001, , , All Causes, 1482 
2001, , , Accidents, 530 
2001, , , Unintentional injuries: motor vehicle, 385 
2001, , , Unintentional injuries: all other, 145 
2001, , , Homicide, 413 
2001, , , Suicide, 154 
2001, , , Malignant neoplasms, 86 
2001, , , Diseases of heart, 55 
2001, , , Congenital malformations, 20 
2001, , , All Causes, 5536 
2001, , , Accidents, 1177 
2001, , , Unintentional injuries: motor vehicle, 487 
2001, , , Unintentional injuries: all other, 690 
2001, , , Malignant neoplasms, 841 
2001, , , Diseases of heart, 808 
2001, , , Suicide, 433 
2001, , , Homicide, 423 
2001, , , HIV disease, 292 
2001, , , Chronic liver disease and cirrhosis, 204 
2001, , , Cerebrovascular disease, 123 
2001, , , Diabetes mellitus, 98 
2001, , , Chronic lower respiratory diseases, 87 
2001, , , Septicemia, 79 
2001, , , Nephritis, 58 
2001, , , Influenza and pneumonia, 57 
2001, , , All Causes, 17633 
2001, , , Malignant neoplasms, 6239 
2001, , , Diseases of heart, 4545 
2001, , , Accidents, 872 
2001, , , Unintentional injuries: motor vehicle, 337 
2001, , , Unintentional injuries: all other, 535 
2001, , , Cerebrovascular disease, 654 
2001, , , Diabetes mellitus, 583 
2001, , , Chronic lower respiratory diseases, 576 
2001, , , Chronic liver disease and cirrhosis, 459 
2001, , , Suicide, 325 
2001, , , Septicemia, 306 
2001, , , Nephritis, 281 
2001, , , Influenza and pneumonia, 200 
2001, , , HIV disease, 194 
2001, , , Homicide, 121 
2001, , , Primary hypertension and hypertensive renal disease, 107 
2001, , , Aortic aneurism and dissection, 93 
2001, , , All Causes, 78282 
2001, , , Diseases of heart, 25356 
2001, , , Malignant neoplasms, 17440 
2001, , , Cerebrovascular disease, 6394 
2001, , , Chronic lower respiratory diseases, 4067 
2001, , , Diabetes mellitus, 2400 
2001, , , Influenza and pneumonia, 2345 
2001, , , Alzheimer's disease, 2129 
2001, , , Nephritis, 1816 
2001, , , Septicemia, 1541 
2001, , , Accidents, 1241 
2001, , , Unintentional injuries: motor vehicle, 270 
2001, , , Unintentional injuries: all other, 971 
2001, , , Pneumonitis due to solids and liquids, 791 
2001, , , Primary hypertension and hypertensive renal disease, 662 
2001, , , Aortic aneurism and dissection, 562 
2001, , , Atherosclerosis, 541 
2001, , , In situ neoplasms, 501 
2001, , , Chronic liver disease and cirrhosis, 435 
2002, , , All Causes, 106211 
2002, , , Diseases of heart, 30713 
2002, , , Malignant neoplasms, 24671 
2002, , , Cerebrovascular diseases, 7171 
2002, , , Chronic lower respiratory diseases, 4806 
2002, , , Accidents, 4177 
2002, , , Unintentional injuries: motor vehicle, 1562 
2002, , , Unintentional injuries: all other, 2615 
2002, , , Diabetes mellitus, 2997 
2002, , , Influenza and pneumonia, 2931 
2002, , , Alzheimer's disease, 2391 
2002, , , Nephritis, 2319 
2002, , , Septicemia, 2043 
2002, , , Intentional self-harm (suicide), 1142 
2002, , , Chronic liver disease and cirrhosis, 1065 
2002, , , Assault (homicide), 1005 
2002, , , Pneumonitis due to solids and liquids, 906 
2002, , , Essential (primary) hypertension and hypertensive renal disease, 849 
2002, , , Parkinson's disease, 781 
2002, , , Certain conditions originating in the perinatal period, 674 
2002, , , In situ neoplasms, 654 
2002, , , Aortic aneurism and dissection, 585 
2002, , , Atherosclerosis, 523 
2002, , , HIV disease, 489 
2002, , , Congenital malformations, 486 
2002, , , All Causes, 206 
2002, , , Accidents, 62 
2002, , , Unintentional injuries: motor vehicle, 12 
2002, , , Unintentional injuries: all other, 50 
2002, , , Congenital malformations, 23 
2002, , , Malignant neoplasms, 17 
2002, , , Homicide, 17 
2002, , , Influenza and pneumonia, 10 
2002, , , All Causes, 288 
2002, , , Accidents, 104 
2002, , , Unintentional injuries: motor vehicle, 59 
2002, , , Unintentional injuries: all other, 45 
2002, , , Malignant neoplasms, 38 
2002, , , Homicide, 18 
2002, , , Congenital malformations, 16 
2002, , , Chronic lower respiratory diseases, 13 
2002, , , Suicide, 13 
2002, , , Diseases of heart, 12 
2002, , , All Causes, 1436 
2002, , , Accidents, 564 
2002, , , Unintentional injuries: motor vehicle, 400 
2002, , , Unintentional injuries: all other, 164 
2002, , , Homicide, 359 
2002, , , Suicide, 155 
2002, , , Malignant neoplasms, 65 
2002, , , Diseases of heart, 42 
2002, , , Congenital malformations, 29 
2002, , , All Causes, 5586 
2002, , , Accidents, 1186 
2002, , , Unintentional injuries: motor vehicle, 499 
2002, , , Unintentional injuries: all other, 687 
2002, , , Malignant neoplasms, 873 
2002, , , Diseases of heart, 811 
2002, , , Suicide, 435 
2002, , , Homicide, 433 
2002, , , HIV disease, 266 
2002, , , Chronic liver disease and cirrhosis, 139 
2002, , , Cerebrovascular diseases, 133 
2002, , , Diabetes mellitus, 127 
2002, , , Chronic lower respiratory diseases, 87 
2002, , , Septicemia, 67 
2002, , , Nephritis, 62 
2002, , , Influenza and pneumonia, 58 
2002, , , Congenital malformations, 51 
2002, , , All Causes, 18132 
2002, , , Malignant neoplasms, 6315 
2002, , , Diseases of heart, 4634 
2002, , , Accidents, 925 
2002, , , Unintentional injuries: motor vehicle, 310 
2002, , , Unintentional injuries: all other, 615 
2002, , , Cerebrovascular diseases, 666 
2002, , , Diabetes mellitus, 577 
2002, , , Chronic lower respiratory diseases, 561 
2002, , , Chronic liver disease and cirrhosis, 509 
2002, , , Suicide, 364 
2002, , , Septicemia, 358 
2002, , , Nephritis, 303 
2002, , , Influenza and pneumonia, 222 
2002, , , HIV disease, 196 
2002, , , Homicide, 119 
2002, , , Primary hypertension and hypertensive renal disease, 112 
2002, , , All Causes, 79259 
2002, , , Diseases of heart, 25184 
2002, , , Malignant neoplasms, 17361 
2002, , , Cerebrovascular diseases, 6361 
2002, , , Chronic lower respiratory diseases, 4125 
2002, , , Influenza and pneumonia, 2610 
2002, , , Alzheimer's disease, 2362 
2002, , , Diabetes mellitus, 2283 
2002, , , Nephritis, 1937 
2002, , , Septicemia, 1594 
2002, , , Accidents, 1278 
2002, , , Unintentional injuries: motor vehicle, 278 
2002, , , Unintentional injuries: all other, 1000 
2002, , , Pneumonitis due to solids and liquids, 836 
2002, , , Parkinson's disease, 766 
2002, , , Primary hypertension and hypertensive renal disease, 719 
2002, , , In situ neoplasms, 522 
2002, , , Atherosclerosis, 510 
2002, , , Aortic aneurism and dissection, 497 
2002, , , Chronic liver disease and cirrhosis, 414 
2003, , , All Causes, 104930 
2003, , , Diseases of heart, 29704 
2003, , , Malignant neoplasms, 24412 
2003, , , Cerebrovascular diseases, 6883 
2003, , , Chronic lower respiratory diseases, 4849 
2003, , , Accidents (unintentional injuries), 3908 
2003, , , Motor vehicle accidents, 1498 
2003, , , All other accidents, 2410 
2003, , , Diabetes mellitus, 3043 
2003, , , Influenza and pneumonia, 2868 
2003, , , Alzheimer's disease, 2623 
2003, , , Nephritis, 2293 
2003, , , Septicemia, 2047 
2003, , , Chronic liver disease and cirrhosis, 1038 
2003, , , Intentional self-harm (suicide), 1001 
2003, , , Assault (homicide), 953 
2003, , , Essential (primary) hypertension and hypertensive renal disease, 906 
2003, , , Pneumonitis due to solids and liquids, 840 
2003, , , Parkinson's disease, 787 
2003, , , Certain conditions originating in the perinatal period, 712 
2003, , , In situ neoplasms, 658 
2003, , , Aortic aneurysm and dissection, 599 
2003, , , Atherosclerosis, 512 
2003, , , All Causes, 199 
2003, , , Accidents (unintentional injuries), 54 
2003, , , Motor vehicle accidents, 19 
2003, , , All other accidents, 35 
2003, , , Congenital malformations, 25 
2003, , , Malignant neoplasms, 20 
2003, , , Assault (homicide), 13 
2003, , , All Causes, 271 
2003, , , Accidents (unintentional injuries), 88 
2003, , , Motor vehicle accidents, 48 
2003, , , All other accidents, 40 
2003, , , Malignant neoplasms, 38 
2003, , , Assault (homicide), 20 
2003, , , Diseases of heart, 10 
2003, , , Congenital malformations, 9 
2003, , , Intentional self-harm (suicide), 8 
2003, , , Influenza and pneumonia, 7 
2003, , , All Causes, 1479 
2003, , , Accidents (unintentional injuries), 583 
2003, , , Motor vehicle accidents, 389 
2003, , , All other accidents, 194 
2003, , , Assault (homicide), 358 
2003, , , Intentional self-harm (suicide), 120 
2003, , , Malignant neoplasms, 68 
2003, , , Diseases of heart, 54 
2003, , , Chronic lower respiratory diseases, 17 
2003, , , Congenital malformations, 14 
2003, , , Influenza and pneumonia, 13 
2003, , , All Causes, 5298 
2003, , , Accidents (unintentional injuries), 1043 
2003, , , Motor vehicle accidents, 453 
2003, , , All other accidents, 590 
2003, , , Diseases of heart, 806 
2003, , , Malignant neoplasms, 797 
2003, , , Intentional self-harm (suicide), 403 
2003, , , Assault (homicide), 398 
2003, , , Human immunodeficiency virus (HIV) disease, 223 
2003, , , Cerebrovascular diseases, 131 
2003, , , Chronic liver disease and cirrhosis, 131 
2003, , , Diabetes mellitus, 92 
2003, , , Influenza and pneumonia, 69 
2003, , , Septicemia, 67 
2003, , , Nephritis, 62 
2003, , , All Causes, 17950 
2003, , , Malignant neoplasms, 6144 
2003, , , Diseases of heart, 4571 
2003, , , Accidents (unintentional injuries), 838 
2003, , , Motor vehicle accidents, 305 
2003, , , All other accidents, 533 
2003, , , Cerebrovascular diseases, 677 
2003, , , Diabetes melliltus, 586 
2003, , , Chronic lower respiratory diseases, 564 
2003, , , Chronic liver disease and cirrhosis, 476 
2003, , , Septicemia, 355 
2003, , , Intentional self-harm (suicide), 328 
2003, , , Nephritis, 296 
2003, , , Influenza and pneumonia, 217 
2003, , , Human immunodeficiency virus (HIV) disease, 194 
2003, , , All Causes, 78353 
2003, , , Diseases of heart, 24232 
2003, , , Malignant neoplasms, 17339 
2003, , , Cerebrovascular diseases, 6063 
2003, , , Chronic lower respiratory diseases, 4211 
2003, , , Alzheimer's disease, 2589 
2003, , , Influenza and pneumonia, 2548 
2003, , , Diabetes mellitus, 2359 
2003, , , Nephritis, 1912 
2003, , , Septicemia, 1594 
2003, , , Accidents (unintentional injuries), 1257 
2003, , , Motor vehicle accidents, 280 
2003, , , All other accidents, 977 
2003, , , Pneumonitis due to solids and liquids, 786 
2003, , , Essential (primary) hypertension and hypertensive renal disease, 777 
2004, , , All causes , 102341 
2004, , , Diseases of heart, 28199 
2004, , , Malignant neoplasms, 24233 
2004, , , Cerebrovascular diseases, 6477 
2004, , , Chronic lower respiratory diseases, 4713 
2004, , , Accidents, 4078 
2004, , , Motor vehicle accidents, 1478 
2004, , , All other accidents, 2600 
2004, , , Diabetes melliltus, 3067 
2004, , , Influenza and pneumonia, 2773 
2004, , , Alzheimer's disease, 2592 
2004, , , Nephritis, nephrotic syndrome and nephrosis, 2335 
2004, , , Septicemia, 1996 
2004, , , Chronic liver disease and cirrhosis, 1052 
2004, , , Intentional self-harm (suicide), 1023 
2004, , , Essential (primary) hypertension and hypertensive renal disease, 931 
2004, , , Assault (homicide), 868 
2004, , , Parkinson's disease, 840 
2004, , , Pneumonitis due to solids and liquids, 810 
2004, , , Certain conditions originating in the perinatal period, 690 
